titulo,tipo,artista,fecha-lanzamiento,generos,id
Me decidí,Album,Joan Soriano,2015,"latin, bachata",0f878469-0c82-4f5b-ad68-ba0bba327e73
Bésame ahora,Single,Jr.,2016,bachata,3a5e40f9-a45b-40cd-8ec2-6ea7d931377c
Todavía me amas: Lo mejor de Aventura,Album,Aventura,2016,bachata,137d40db-124c-488f-8152-c50fbd3501d9
Bachata Nation,Album,Toby Love,2016,bachata,db5150c3-c421-42c1-8087-bea3e619e396
The Third,Album,Henry Santos,2016,"salsa, merengue, bachata",6d30122e-334c-4f81-87f7-3be95f8b4580
Canciones p' agarrar el alma,Album,Regina Orozco,2016,"tango, latin, bolero, bachata, trova",7a528ab8-3183-46ef-972f-12a807757fc4
Quitémonos la ropa,EP,Dani J,2016,"latin, bachata",b1584218-26da-4e89-9ad0-eeb9ee2cc341
Falling Apart,Album,Medium Build,2016,"pop, bachata",56a4ddfb-e010-49b0-b9d6-b6330b6034dc
Almost Like Praying,Single,Lin‐Manuel Miranda,2017,"electronic, latin, reggaeton, hip house, bachata",d0323156-bae1-4128-8578-10a2b2bf1d21
Golden,Album,Romeo Santos,2017,bachata,848caf52-3572-4922-8449-4fb33a05da49
Pura bachata,Album,Marino Perez,2017,bachata,3fae5460-605b-4ad9-8115-09e12515586c
FIVE,Album,Prince Royce,2017,"latin pop, latin, bachata, salsa/tropical",c3ab91b0-9fd8-4c24-a97e-4208c0334bdd
Felices los 4,Single,Dj Khalid,2017,bachata,7e5ac50c-3d84-465a-a573-e8b9e6920094
"Bachata Remixes 2017, Pt 2",Album,DJ Selphi,2017,"pop, latin, bachata",c889e66d-79ca-4bfa-9d48-47365e740fd9
Acordando o prédio,Single,Luan Santana,2017,bachata,d7703420-1dbe-4a77-8f79-3f56122adb0c
Cásate conmigo (bachata version),Single,DJ Khalid,2018,bachata,a8be7b3e-f545-44b7-809a-46c485cf240e
Lost on You,Single,Dj Khalid,2018,bachata,49ec3c21-98f4-44ff-ba40-360c932d838d
Quién sabe,Single,Natti Natasha,2018,bachata,d6f1227e-d294-4bfa-88aa-b7c4a6f53c07
Bachata Haiti,Album,Joan Soriano,2018,"latin, merengue, bachata",d69339ac-5aea-46cd-8e17-d65a8d8bd06d
Vida,Album,Luis Fonsi,2019,"pop, vocal, ballad, latin pop, latin, reggaeton, cumbia, vallenato, bachata, south american traditions",94d214a3-e928-4209-8874-35cc0ffc751c
