cancion,artista,tipo,lanzamiento,fecha-lanzamiento
Happy Hour,M.A.K.U. Soundsystem,Album,Mezcla,2016
De Barrio,M.A.K.U. Soundsystem,Album,Mezcla,2016
Down in the Basement,The Mauskovic Dance Band,EP,Down in the Basement,2018
The Opposite,The Mauskovic Dance Band,EP,Down in the Basement,2018
Continue the Fun,The Mauskovic Dance Band,EP,Down in the Basement,2018
Tuto Bay,The Mauskovic Dance Band,EP,Down in the Basement,2018
Hora del casino,Balkumbia,Album,"Balkumbia, Vol. 2",2018
Uva,Balkumbia,Album,"Balkumbia, Vol. 2",2018
La Sampuesana,Balkumbia,Album,"Balkumbia, Vol. 2",2018
Ağrı Dağı,Balkumbia,Album,"Balkumbia, Vol. 2",2018
Sabrosura selvática,Balkumbia,Album,"Balkumbia, Vol. 2",2018
Opa Opa,Balkumbia,Album,"Balkumbia, Vol. 2",2018
Albanski čoček,Balkumbia,Album,"Balkumbia, Vol. 2",2018
Bebida de los abuelos,Balkumbia,Album,"Balkumbia, Vol. 2",2018
Hijo de nadie,Balkumbia,Album,"Balkumbia, Vol. 2",2018
Cumbia de la trinidad,Balkumbia,Album,"Balkumbia, Vol. 2",2018
Moontribe,Moontribe,Album,Moontribe,2018
Technology,Moontribe,Album,Moontribe,2018
Bottles,Moontribe,Album,Moontribe,2018
Moon's Moon,Moontribe,Album,Moontribe,2018
Osmium,Moontribe,Album,Moontribe,2018
Moontone,Moontribe,Album,Moontribe,2018
Mesmerized,Moontribe,Album,Moontribe,2018
Cumbia de las cubas,Orquesta Cumbia Grande,Album,Superbailable Vol. 2,2019
La cumparsita,Orquesta Cumbia Grande,Album,Superbailable Vol. 2,2019
Cumbia del amor,Orquesta Cumbia Grande,Album,Superbailable Vol. 2,2019
Boca de ceniza,Orquesta Cumbia Grande,Album,Superbailable Vol. 2,2019
Tonaya,Orquesta Cumbia Grande,Album,Superbailable Vol. 2,2019
El lunático,Orquesta Cumbia Grande,Album,Superbailable Vol. 2,2019
Cumbia candelosa,Orquesta Cumbia Grande,Album,Superbailable Vol. 2,2019
La escoba,Orquesta Cumbia Grande,Album,Superbailable Vol. 2,2019
El mecánico,Orquesta Cumbia Grande,Album,Superbailable Vol. 2,2019
Tico Noguera,Orquesta Cumbia Grande,Album,Superbailable Vol. 2,2019
Olhos Negros,Orquesta Cumbia Grande,Album,Superbailable Vol. 2,2019
Llamado,La Rueda,Album,El Indio Conakry,2019
El Indio Conakry,La Rueda,Album,El Indio Conakry,2019
Rompehueso,La Rueda,Album,El Indio Conakry,2019
Psicodélico,La Rueda,Album,El Indio Conakry,2019
Sía Sìa,La Rueda,Album,El Indio Conakry,2019
El Yoyo,La Rueda,Album,El Indio Conakry,2019
Agüita e´ Panela,La Rueda,Album,El Indio Conakry,2019
El Rurrú,La Rueda,Album,El Indio Conakry,2019
Frontiére Ma Ma,La Rueda,Album,El Indio Conakry,2019
Gaitandango,La Rueda,Album,El Indio Conakry,2019
Carrataplum,Ruth Vazquez,Album,Salida de Emergencia,2021
Las Brujas,Ruth Vazquez,Album,Salida de Emergencia,2021
Caramelo,Ruth Vazquez,Album,Salida de Emergencia,2021
Cachito Azucarado,Ruth Vazquez,Album,Salida de Emergencia,2021
El Desamor,Ruth Vazquez,Album,Salida de Emergencia,2021
Yemaya,Ruth Vazquez,Album,Salida de Emergencia,2021
El Ciclon,Ruth Vazquez,Album,Salida de Emergencia,2021
Shabi Bi-Di-Do,Guts,Album,"Straight from the Decks, Vol. 2",2021
Yamona (Dam Swindle Rmx),Guts,Album,"Straight from the Decks, Vol. 2",2021
Saúde,Guts,Album,"Straight from the Decks, Vol. 2",2021
Que Quiere Que Haga,Guts,Album,"Straight from the Decks, Vol. 2",2021
Me Robaste El Sueño,Guts,Album,"Straight from the Decks, Vol. 2",2021
"Mounadji ""76""",Guts,Album,"Straight from the Decks, Vol. 2",2021
Limyè-A,Guts,Album,"Straight from the Decks, Vol. 2",2021
Mi Moin Mi Ou,Guts,Album,"Straight from the Decks, Vol. 2",2021
Liborio,Guts,Album,"Straight from the Decks, Vol. 2",2021
Pé Di Bissilon (Dam Swindle Remixx),Guts,Album,"Straight from the Decks, Vol. 2",2021
Aye!,Guts,Album,"Straight from the Decks, Vol. 2",2021
Nzambi / Muadiakime,Guts,Album,"Straight from the Decks, Vol. 2",2021
Utammada,Guts,Album,"Straight from the Decks, Vol. 2",2021
Canette (BOSQ Remix),Guts,Album,"Straight from the Decks, Vol. 2",2021
Nando,Guts,Album,"Straight from the Decks, Vol. 2",2021
Cumbia De Sal Y Azucar,Guts,Album,"Straight from the Decks, Vol. 2",2021
Sampuesana,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
La Borrachita,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
Paga La Cuenta Sinverguenza,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
Infinito,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
Feito Parrandero,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
Bien Bailadito,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
Saturno 2000,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
La Danza Del Mono,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
Capricho Egipcio,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
El Chacarero,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
Pa' Oriente Me Voy,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
Alegrate,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
Todo Lo Tengo De Ti Menos Tu Amor,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
La Fuga Del Bandido,Various Artists,Album,Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,2022
Dandeleon,Chancha Vía Circuito,Album,La Estrella,2022
Cometa,Chancha Vía Circuito,Album,La Estrella,2022
Amor en silencio,Chancha Vía Circuito,Album,La Estrella,2022
La rosa china,Chancha Vía Circuito,Album,La Estrella,2022
El pavo real,Chancha Vía Circuito,Album,La Estrella,2022
Ese peso,Chancha Vía Circuito,Album,La Estrella,2022
Vedanta,Chancha Vía Circuito,Album,La Estrella,2022
El árbol y el hacha,Chancha Vía Circuito,Album,La Estrella,2022
Ouh Lord Ouh Dios,Chancha Vía Circuito,Album,La Estrella,2022
Monolina,Chancha Vía Circuito,Album,La Estrella,2022
Aguacero,Chancha Vía Circuito,Album,La Estrella,2022
Mariquita Linda,Son Palenque,Album,Los Trotamundos del Sabor,2022
Tracolao,Son Palenque,Album,Los Trotamundos del Sabor,2022
Mangaina Ta Pele,Son Palenque,Album,Los Trotamundos del Sabor,2022
Cho Fao a Pele,Son Palenque,Album,Los Trotamundos del Sabor,2022
Dame un Trago,Son Palenque,Album,Los Trotamundos del Sabor,2022
Aloito Pio,Son Palenque,Album,Los Trotamundos del Sabor,2022
Pa Bete,Son Palenque,Album,Los Trotamundos del Sabor,2022
Atina Tina,Son Palenque,Album,Los Trotamundos del Sabor,2022
Cecilita,Son Palenque,Album,Los Trotamundos del Sabor,2022
Itan Pa Majate,Son Palenque,Album,Los Trotamundos del Sabor,2022
El Pavo Mono,Son Palenque,Album,Los Trotamundos del Sabor,2022
Alo Cusa,Son Palenque,Album,Los Trotamundos del Sabor,2022
Mis Viejos Sueños,Balkumbia,Album,Mala Suerte Album,2022
Krushe,Balkumbia,Album,Mala Suerte Album,2022
Respira,Balkumbia,Album,Mala Suerte Album,2022
Trava vre Manga Kai Alani (Τράβα ρε αλάνη),Balkumbia,Album,Mala Suerte Album,2022
Más Allá del Mar,Balkumbia,Album,Mala Suerte Album,2022
La Zenaida,Balkumbia,Album,Mala Suerte Album,2022
Marmota,Balkumbia,Album,Mala Suerte Album,2022
Todo al Carajo,Balkumbia,Album,Mala Suerte Album,2022
Paramana Kouna Kouna (Παραμανα κουνα κουνα),Balkumbia,Album,Mala Suerte Album,2022
Mala Suerte,Balkumbia,Album,Mala Suerte Album,2022
prsn,Reza,EP,Cismo,2022
sinergia,Reza,EP,Cismo,2022
mantra,Reza,EP,Cismo,2022
ant/g.n/smo,Reza,EP,Cismo,2022
America Índia,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Muevase vecina,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Pañuelo de seda,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Altas horas,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Llorona,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Haciendo bomba,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Mi paisa,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Culebrita dormida,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Muñequita blanca,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Unita mas,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Bomba de pobres,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Don Alfoncito,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Ferrocarril,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Di que me amas,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
La Perra vida,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Cumbia Totorana,Various Artists,Album,Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,2023
Selva negra,Son Rompe Pera,Album,Chimborazo,2023
La muerte del amor,Son Rompe Pera,Album,Chimborazo,2023
Chucha,Son Rompe Pera,Album,Chimborazo,2023
Cumbia pa tu madre,Son Rompe Pera,Album,Chimborazo,2023
Toño y el demonio,Son Rompe Pera,Album,Chimborazo,2023
Chata,Son Rompe Pera,Album,Chimborazo,2023
