titulo,tipo,artista,fecha-lanzamiento,generos,id
Cumbias Chichadélicas : Peruvian Psychedelic Chicha,Album,Various Artists,2011,"latin, cumbia, cumbia peruana",6e8d5ef1-ab92-4de0-8374-9e8998eba8cf
Cumbia salvaje,Album,Sonido Gallo Negro,2011,"rock, garage rock, latin, cumbia",f8a925c9-3d7d-4473-8feb-ec4f4deb4e87
Cartagena! Curro Fuentes and the Big Band Cumbia and Descarga Sound of Colombia 1962-72,Album,Various Artists,2011,"salsa, latin, cumbia, descarga, guaguancó",37612b6a-eee3-4737-8bab-944f39e1b6e7
Deepaton: Moombah Volume 2,EP,SaBBo,2011,"electronic, dubstep, latin, cumbia",1d8c3b72-6d13-4fa6-baa6-22c534c6c1c0
"Boombahchero, Volume 2",Album,DJ Orion,2012,"salsa, latin, cumbia, baltimore club",3ad92c1c-049a-4929-b7d9-ba2837de7348
Mis favoritas,Album,Banda Machos,2012,"latin, cumbia, corrido",282049c2-e242-4a79-889e-628ba09a495f
Latin Noir: Everything Happens on the Beach,Album,Various Artists,2012,"electronic, latin, cumbia, descarga",e74975f6-3b3c-405f-8bb9-cab9f8be1789
Los Rastreadores,EP,Ortiga,2012,"latin, cumbia",08f7f846-1888-471a-a4aa-8e45db78e91c
"Paco Zambrano / Juaneco 7""",Single,Juaneco y su Combo,2012,"electronic, latin, cumbia",bd525a43-f860-4f97-8d46-24d61b26cd60
Asi tocan los indios,Album,Gaiteros de San Jacinto,2012,"electronic, dub, cumbia, currulao",761b83e5-be97-4eae-8f53-da1cfdc8b255
Ves lo que quieres ver,Album,Bareto,2012,"reggae, dub, latin, merengue, cumbia",f01102ac-f486-4e42-8b14-82e814277e3b
Tropical Bass Station,Album,Cumbia Cosmonauts,2012,"electronic, club, cumbia, chicha",dd8a7ce2-ef47-4b36-937a-53b1b35503b3
Ondatrópica,Album,Ondatrópica,2012,"latin, cumbia",4d0d7da2-292f-4a50-b169-4e03a9e7c559
Llego El Combo,Album,Super Spanish Combo,2012,"hip hop, salsa, latin, cumbia",a28f1af1-0143-4a68-9f26-31ff2bb8411c
Suelta la voz,EP,Copia Doble Systema,2012,"electronic, house, latin, cumbia",e86e7040-a258-406e-bc39-fc95d0b12089
Supermeng,Album,Los Chavos,2012,"ska, reggae, latin, cumbia",57e6e70d-c79c-4776-a729-6c2e41ba89d2
Cumbia Beat Vol. 2 (Experimental Guitar-Driven Tropical Sounds From Perú 1966/1983),Album,Various Artists,2012,"psychedelic, latin, cumbia, guaracha",f5b462e9-4ac2-4165-85ed-b2c0fee5c6aa
Future Sounds of Buenos Aires,Album,Various Artists,2012,"electronic, latin, cumbia",7bb47fcc-c61c-45b7-97ed-7f871e7ba813
Puentera,Album,Sara Hebe,2012,"punk, pop punk, cumbia",7392b5dd-8903-4257-bf21-dcb2a9a58546
Katakana Edits Vol.08,EP,ManJah,2012,"reggae, soul, breaks, dancehall, cumbia",24aa4544-47bc-41b5-aef6-41adf69683fc
Tropico Balkanico,Album,La Mercosur,2012,"gypsy jazz, latin, klezmer, cumbia",685c85e6-aece-4d32-8466-c99c465bd1f9
M.N.D.,EP,M.A.K.U. Soundsystem,2012,"punk, psychedelic, afrobeat, cumbia",495b2ff4-49d8-4c4b-ac6a-f7616bc375b7
Cumbia Cumbia 1 & 2,Album,Various Artists,2012,"latin, cumbia",c21c28be-973a-4ca1-a7d4-fdaa0f5158a6
Más tropical / Que te pasa,Single,Quitapenas,2012,"cumbia, soukous, champeta",0d38dcce-09ff-40d1-b5e4-380ab921d43f
