titulo,tipo,artista,fecha-lanzamiento,generos,id
Cross Over,Album,Fania All-Stars,1979,"disco, salsa, latin, guajira",61063d85-7583-426e-a586-ca7aaf4c091f
Usted no me conoce / Aqui hay un hombre gozando,Single,Nuestra Orquesta La Salsa Mayor,1979,"salsa, latin",bd72e090-9e5c-4419-9318-67e99fa46212
Soy la ley,Album,Pete “El Conde” Rodríguez,1979,"salsa, latin, bolero, guaguancó",38ef6f8b-39fc-4bc3-b23a-399bab7702b7
Recordando a Felipe Pirela,Album,Héctor Lavoe,1979,"pop, salsa",0adbcd68-cffc-4053-af96-c7e9c8e25638
Ritmo,Album,Chico Batera,1979,"mpb, salsa, latin",a13ab142-4b75-4646-8b33-bd3f1bff4ccf
Bohemio y poeta,Album,Rubén Blades,1979,"salsa, latin",f04e4b5f-c928-409c-8530-f3af829ce3c7
"Ni poco, ni demasiado",Album,Tabaco y sus Metales,1979,"salsa, latin",5560ad6a-fd73-4796-9bb8-cc0c749ad043
Eladio Jimenez,Album,Eladio Jimenez,1979,"salsa, latin, bolero",b2aaa34a-fdd8-4cc8-b383-f143282e10af
Al pasito,Album,Grupo Niche,1979,salsa,b67e35c8-93fe-478c-ada5-b5a99d4b4d3a
La Nature,Album,Volo Volo,1979,"salsa, latin, compas",69b325f2-3e9e-41ee-9e83-bcb639755d5e
Another Cha-Cha,Album,Santa Esmeralda,1979,"electronic, disco, salsa, latin",109cad4e-1189-4a85-abc7-82117a79b00f
A New York,Album,Amadou Balaké,1979,"jazz, reggae, salsa, latin",e61125d7-b095-4310-8d0f-c2d25ee5f23d
Habana Jam,Album,Fania All Stars,1979,"salsa, latin",39eccea4-e04e-4ded-b5f4-e12d1dee15b7
Estampas,Album,Cheo Feliciano,1979,"salsa, latin, bolero",0cb1bd43-088a-4e91-91b5-2fde9a867919
Survival,Album,Ray Rodríguez And Orchestra Duro,1979,"salsa, latin, bolero, guaguancó",cb56fc64-a43c-48cb-b595-be13704de8fa
Salsa con caché,Album,Andy Montañez,1980,"salsa, latin",d6f27821-ce95-41b7-b7ac-d0e3420dfd82
Mamey,Album,Julio Castro,1980,"salsa, latin",283052ed-1322-4054-b287-5e2425fd776f
Sabrosa!,Album,La Salsa Mayor,1980,"salsa, latin",
El Hulk de la Salsa,Album,Sociedad '76,1980,"salsa, latin",81f4b4bd-4fab-4bc2-a52a-2416570a83e2
Dancemania 80's,Album,Tito Puente,1980,"salsa, latin, bolero, guaguancó",
Doble energía,Album,Colón,1980,"funk, salsa, latin, bolero",9b92debe-4ada-4fb2-87c7-238fc69b8b11
Lucho Argaín y La Sonora Dinamita,Album,Lucho Argaín,1980,"salsa, latin, cumbia",d09bcb06-9f06-4151-bd10-b6605f718c68
Bobby Valentín,Album,Bobby Valentín,1980,"salsa, latin",9c920baf-2571-49b0-b6c1-ac1ec9f16e7e
Amanecer criollo,Album,Los Dementes,1980,"jazz, salsa, latin, guaguancó",1c8e0c2c-61d4-4395-b683-fa09cdfe128b
Así soy yo,Album,Larry Harlow,1980,"salsa, latin",ea675652-71d6-4f6d-9f49-cd2c5c5f5f09
"Salsa africana, vol. 1",Album,Monguito El Único,1980,"salsa, latin",4feda4e7-680a-4b11-aff2-e48d58887ddb
Simplemente... Lalo,Album,Lalo Rodríguez,1980,"salsa, latin",a2502f1f-8c4f-481d-91b7-4df39bf83a3f
